Name    Low     High    Average
Q06     77      95      86.80
L05     40      96      46.60
WS      5       5       5
Q07     58      100     78.80
L06     60      99      61
L07     77      86      64.80
H01     19      90      47.80
H02     47      95      74.60
H03     70      95      82.20
H04     46      80      65
H05     54      95      76.60
H06     58      97      80.60
Q01     25      100     74.80
H07     52      90      67
Q02     84      100     91.60
L01     41      91      75
Q03     33      100     66.80
L02     0       100     61.40
Q04     55      100     81
L03     88      100     95.80
FINAL   58      99      85.60
Q05     54      99      76.80
L04     48      100     79.20
